,trans,site,trt,date,month,year,hab,totno,noaesh,nochiro,nocoenag,nocorix,nonoto,noephem
1656,2,Volker II,Tile,15-Jun-16,June,2016,EV,93,0,8,7,5,4,0
1664,2,Volker II,Tile,15-Jun-16,June,2016,SV,274,6,11,71,4,2,1
1670,3,Volker II,Tile,15-Jun-16,June,2016,EV,55,0,41,0,4,2,0
1673,3,Volker II,Tile,15-Jun-16,June,2016,SS,191,0,191,0,0,0,0
1682,4,Volker II,Tile,15-Jun-16,June,2016,EV,232,1,189,0,0,16,2
1687,4,Volker II,Tile,15-Jun-16,June,2016,SS,98,0,92,0,0,1,0
533,1,Ziegler,Surface,18-Jun-15,June,2015,EV,73,0,8,4,29,2,30
537,1,Ziegler,Surface,18-Jun-15,June,2015,SS,19,0,7,0,5,0,6
543,1,Ziegler,Surface,18-Jun-15,June,2015,SV,44,0,6,3,23,0,12
551,2,Ziegler,Surface,18-Jun-15,June,2015,EV,48,1,7,8,16,2,11
567,2,Ziegler,Surface,18-Jun-15,June,2015,SS,32,0,6,4,14,1,5
558,2,Ziegler,Surface,18-Jun-15,June,2015,SV,121,0,59,8,20,0,29
572,3,Ziegler,Surface,18-Jun-15,June,2015,EV,46,0,16,2,9,5,11
586,3,Ziegler,Surface,18-Jun-15,June,2015,SV,62,0,10,4,28,2,11
597,4,Ziegler,Surface,18-Jun-15,June,2015,EV,42,1,3,1,8,4,13
606,4,Ziegler,Surface,18-Jun-15,June,2015,SV,50,0,4,8,19,8,11
1565,1,Ziegler,Surface,13-Jun-16,June,2016,EV,61,6,7,6,4,1,1
1576,1,Ziegler,Surface,13-Jun-16,June,2016,SV,44,0,18,0,18,4,2
1581,2,Ziegler,Surface,13-Jun-16,June,2016,EV,54,12,1,3,28,2,2
1591,2,Ziegler,Surface,13-Jun-16,June,2016,SV,36,0,32,3,1,0,0
1593,3,Ziegler,Surface,13-Jun-16,June,2016,EV,39,0,4,1,1,0,1
1603,3,Ziegler,Surface,13-Jun-16,June,2016,SV,55,0,4,0,38,4,4
1612,4,Ziegler,Surface,13-Jun-16,June,2016,EV,27,2,1,0,0,0,1
1621,4,Ziegler,Surface,13-Jun-16,June,2016,SV,130,0,92,3,20,2,3
